Hostname,IP-Address,Software-Image,Version,Serial-No,Hardware
R1,10.0.0.2,I86BI_LINUX-ADVENTERPRISEK9-M,15.7(3)M2,['2048001'],[]
R2,10.0.0.6,I86BI_LINUX-ADVENTERPRISEK9-M,15.7(3)M2,['2048002'],[]
R3,192.168.10.1,I86BI_LINUX-ADVENTERPRISEK9-M,15.7(3)M2,['2048004'],[]
R4,192.168.11.1,I86BI_LINUX-ADVENTERPRISEK9-M,15.7(3)M2,['2048009'],[]
R5,192.168.20.1,I86BI_LINUX-ADVENTERPRISEK9-M,15.7(3)M2,['2048005'],[]
R6,192.168.21.1,I86BI_LINUX-ADVENTERPRISEK9-M,15.7(3)M2,['2048007'],[]
R7,192.168.30.1,I86BI_LINUX-ADVENTERPRISEK9-M,15.7(3)M2,['2048006'],[]
R8,192.168.31.1,I86BI_LINUX-ADVENTERPRISEK9-M,15.7(3)M2,['2048008'],[]
