Hostname,IP-Address,Software-Image,Version,Serial-No,Hardware
LIMURU-ROUTER-1,192.168.21.1,I86BI_LINUX-ADVENTERPRISEK9-M,15.7(3)M2,['2048001'],[]
LIMURU-ROUTER-2,192.168.21.2,I86BI_LINUX-ADVENTERPRISEK9-M,15.7(3)M2,['2048002'],[]
MOMBASA-TX-STATION,172.19.20.2,I86BI_LINUX-ADVENTERPRISEK9-M,15.7(3)M2,['2048010'],[]
MALINDI-TX-STATION,172.19.20.3,I86BI_LINUX-ADVENTERPRISEK9-M,15.7(3)M2,['2048011'],[]
NAKURU-TX-STATION,172.19.20.4,I86BI_LINUX-ADVENTERPRISEK9-M,15.7(3)M2,['2048004'],[]
LONDIANI-TX-STATION,172.19.20.5,I86BI_LINUX-ADVENTERPRISEK9-M,15.7(3)M2,['2048003'],[]
KISUMU-TX-STATION,172.19.20.6,I86BI_LINUX-ADVENTERPRISEK9-M,15.7(3)M2,['2048005'],[]
KISII-TX-STATION,172.19.20.7,I86BI_LINUX-ADVENTERPRISEK9-M,15.7(3)M2,['2048006'],[]
